City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,barcelos,41.5388,-8.6151,24.82,66,17,2.13,PT,1687905392
162,gordonvale,-17.0936,145.7842,23.28,94,90,2.05,AU,1687905392
163,laojunmiao,39.8333,97.7333,16.31,32,73,2.59,CN,1687905392
164,hermanus,-34.4187,19.2345,14.33,87,100,2.31,ZA,1687905392
165,klimavichy,53.6135,31.9385,12.67,98,98,2.24,BY,1687905392
166,letlhakane,-21.4167,25.5833,13.2,32,0,4.25,BW,1687905393
167,paracuru,-3.41,-39.0306,27.28,78,15,4.72,BR,1687905393
168,tucupita,9.0622,-62.051,24.18,98,93,0.75,VE,1687905393
169,utrik,11.2278,169.8474,28.06,81,100,8.42,MH,1687905393
170,kalianget,-7.05,113.9333,25.92,80,39,2.99,ID,1687905393
171,kapa'a,22.0752,-159.319,29.18,71,0,8.23,US,1687905393
172,vilyuysk,63.7553,121.6247,21.86,63,100,2.13,RU,1687905394
173,alta,69.9689,23.2717,13.59,72,35,2.57,NO,1687905394
174,pueblo nuevo,23.3833,-105.3833,26.2,41,28,3.9,MX,1687905394
175,prince rupert,54.3161,-130.3201,20.05,84,0,3.6,CA,1687905394
176,kayangel,8.0823,134.7173,28.84,71,100,2.61,PW,1687905394
177,labrador city,52.9463,-66.9114,13.95,94,100,4.63,CA,1687905395
178,pierre,44.3683,-100.351,23.51,66,75,9.26,US,1687905395
179,chulakkurgan,43.765,69.1814,17.84,30,22,4.74,KZ,1687905395
180,portland,45.5234,-122.6762,29.41,44,75,3.09,US,1687905372
181,trairi,-3.2778,-39.2689,25.65,78,14,4.09,BR,1687905176
182,del rio,29.3627,-100.8968,43.06,19,0,8.75,US,1687905196
183,bilibino,68.0546,166.4372,10.29,57,99,2.12,RU,1687905139
184,nagqu,31.5,92.0,4.03,94,100,2.84,CN,1687905395
185,fort morgan,40.2503,-103.8,34.59,37,0,3.5,US,1687905269
186,salekhard,66.53,66.6019,8.13,65,100,3.18,RU,1687905395
187,francistown,-21.17,27.5079,12.55,30,0,3.53,BW,1687905396
188,sambava,-14.2667,50.1667,18.78,80,4,4.5,MG,1687905396
189,shuangcheng,45.35,126.2833,20.82,89,97,4.14,CN,1687905396
190,port douglas,-16.4833,145.4667,23.79,74,93,4.77,AU,1687905396
191,novosilikatnyy,53.3097,83.6239,15.32,82,75,4.0,RU,1687905396
192,noshiro,40.2039,140.0242,22.81,91,100,4.08,JP,1687905396
193,mikhaylovskoye,51.8239,79.7172,14.42,73,20,5.77,RU,1687905397
194,cidade velha,14.9167,-23.6167,25.26,73,20,6.17,CV,1687905397
195,dabwali,29.95,74.7333,31.16,62,56,3.58,IN,1687905397
196,naze,28.3667,129.4833,25.51,84,99,3.8,JP,1687905397
197,cidreira,-30.1811,-50.2056,17.82,83,57,2.81,BR,1687905165
198,polyarnyy,69.1989,33.4478,10.48,78,78,1.11,RU,1687905397
199,port alfred,-33.5906,26.891,16.77,84,100,3.13,ZA,1687905397
200,rabo de peixe,37.8,-25.5833,20.73,88,20,5.66,PT,1687905398
201,thoen,17.6129,99.2161,23.72,99,100,0.34,TH,1687905398
202,new norfolk,-42.7826,147.0587,6.72,90,70,1.39,AU,1687905398
203,connell,46.6635,-118.8611,30.98,32,99,2.24,US,1687905398
204,corn island,12.1694,-83.0418,28.1,78,91,4.38,NI,1687905398
205,mahibadhoo,3.7833,72.9667,27.85,77,86,4.62,MV,1687905398
206,georgetown,5.4112,100.3354,26.96,90,20,2.06,MY,1687905290
207,cayambe,0.05,-78.1333,12.37,80,84,2.03,EC,1687905399
208,dudinka,69.4058,86.1778,10.9,61,47,2.17,RU,1687905399
209,chonchi,-42.6128,-73.8092,8.56,94,31,1.33,CL,1687905399
210,rawlins,41.7911,-107.2387,26.94,9,0,8.75,US,1687905399
211,kingston,17.997,-76.7936,29.53,87,75,4.12,JM,1687905250
212,port macquarie,-31.4333,152.9167,12.16,52,100,1.49,AU,1687905399
213,ketchikan,55.3422,-131.6461,22.26,60,40,4.63,US,1687905259
